3112.987	60.68235	99.77494	219.2727	1	16.8418	0	78.2635	0
3113.112	60.84489	99.90314	219.1073	1	19.231	0	75.9893	0
3113.237	60.91568	99.98605	219.1761	1	21.6966	0	73.7774	0
3113.362	60.90524	100.0239	219.4057	1	23.3652	0	72.3353	0
3113.487	60.80793	99.99351	219.6762	1	23.7351	0	72.099	0
3113.612	60.62128	99.87131	219.8707	1	23.1379	0	72.7694	0
3113.737	60.35446	99.64408	219.8854	1	21.8396	0	74.0981	0
3113.862	60.03532	99.3174	219.6396	1	20.1521	0	75.787	0
3113.987	59.74313	98.9381	219.1923	1	18.2158	0	77.7487	0
3114.112	59.526	98.57478	218.764	1	16.1271	0	79.801	0
3114.237	59.3971	98.26517	218.4733	1	14.2787	0	81.5589	0
3114.362	59.35561	98.03957	218.3725	1	12.9147	0	82.8148	0
3114.487	59.38827	97.91827	218.44	1	11.9088	0	83.7012	0
3114.612	59.47079	97.91515	218.5293	1	11.0041	0	84.4735	0
3114.737	59.54713	97.9566	218.4642	1	10.0705	0.4515	84.7938	0
3114.862	59.57178	97.99034	218.2537	1	9.5551	1.1242	84.5393	0
3114.987	59.52129	97.99432	217.9675	1	10.0806	1.4054	83.8191	0
3115.112	59.38883	97.96628	217.6983	1	11.581	1.3216	82.6579	0
3115.237	59.18614	97.92805	217.5409	1	12.9988	1.0491	81.7989	0
3115.362	58.97841	97.93282	217.5294	1	13.6642	0.9356	81.4521	0
3115.487	58.83004	97.99998	217.5784	1	13.8316	1.1468	81.1737	0
3115.612	58.75554	98.12437	217.6766	1	13.9591	1.5921	80.6176	0
3115.737	58.75292	98.28392	217.8384	1	14.3046	1.8774	79.9827	0
3115.862	58.80663	98.44393	218.0928	1	14.6199	1.8887	79.6366	0
3115.987	58.88841	98.55343	218.4712	1	14.465	1.7012	79.9195	0
3116.112	58.96781	98.61258	218.8922	1	13.8474	1.2522	80.9048	0
3116.237	59.03307	98.6668	219.2647	1	13.1964	0.3822	82.3782	0
3116.362	59.0783	98.74007	219.553	1	12.9004	0.0298	82.9957	0
3116.487	59.1006	98.83986	219.7568	1	12.7336	0	83.1705	0
3116.612	59.10048	98.95154	219.9145	1	12.1414	1.2794	82.3623	0
3116.737	59.07439	99.02241	220.1064	1	11.3109	2.5096	81.8163	0
3116.862	59.01934	99.03593	220.3381	1	10.5276	3.0366	81.9792	0
3116.987	58.91136	99.01855	220.5563	1	9.5269	3.2736	82.7032	0
3117.112	58.71823	98.96162	220.6828	1	7.5528	3.4974	84.4106	0
3117.237	58.40113	98.81957	220.6253	1	4.4878	3.9058	87.0351	0
3117.362	57.88727	98.45293	220.2446	2	1.6597	5.0182	88.8717	0
3117.487	57.12407	97.82869	219.4588	2	0.1425	7.2986	88.4859	0
3117.612	56.19374	97.12949	218.3713	2	0	10.7755	85.7711	0
3117.737	55.19894	96.51732	217.0897	2	0	14.7167	82.4648	0
3117.862	54.27375	96.11311	215.7607	2	0	18.2029	79.5123	0
3117.987	53.57307	95.96926	214.562	2	0.3678	20.2446	77.4951	0
3118.112	53.35037	96.02422	213.8263	2	1.4813	19.7631	77.1099	0
3118.237	53.5762	96.13693	213.6517	2	2.9546	16.7344	78.6965	0
3118.362	54.1886	96.34916	214.0052	2	4.6404	11.4212	82.1027	0
3118.487	55.10493	96.70447	214.7754	2	6.7922	5.5185	85.5133	0
3118.612	56.20895	97.20991	215.775	2	9.7463	0.5097	87.2051	0
3118.737	57.33428	97.76742	216.7179	3	13.1821	0	83.8331	0
3118.862	58.21164	98.15999	217.2441	1	16.1806	0	80.4905	0
3118.987	58.76455	98.32785	217.3592	1	17.8643	0	78.6151	0
