DEPTH	SDTC	1-AMP	SDTS	CAI	SDTST
229.5	0.110646	0.394948	0.19881	0.440314	0.252233
229.625	0.06946	0.376998	0.129762	0.464177	0.312478
229.75	0.029101	0.342483	0.068184	0.382798	0.307438
229.875	0.001316	0.325601	0.026627	0.373316	0.226945
230	-0.00782	0.26969	0.006166	0.303454	0.117005
230.125	0.000248	0.334411	0.000143	0.391094	0.030477
230.25	0.017201	0.367576	0.003195	0.447894	-0.002551
230.375	0.035094	0.319041	0.009366	0.393424	0.039445
230.5	0.047843	0.25414	0.014055	0.293934	0.142096
230.625	0.05261	0.224161	0.018357	0.241528	0.270774
230.75	0.054672	0.145265	0.023608	0.162471	0.387846
230.875	0.060061	0.12977	0.030499	0.143454	0.45887
231	0.072179	0.111414	0.039825	0.127185	0.444204
231.125	0.0854	0.042285	0.051824	0.039144	0.349462
231.25	0.093417	0.059414	0.064805	0.065395	0.218797
231.375	0.09362	0.075773	0.075164	0.081936	0.097525
231.5	0.085071	0.076004	0.076805	0.077771	0.024385
231.625	0.070043	0.033357	0.066504	0.024116	0.000021
231.75	0.051833	0.006898	0.047623	-0.01507	0.006243
231.875	0.033867	-0.009463	0.027252	-0.034622	0.01043
232	0.018856	-0.023021	0.010417	-0.054186	0.006583
232.125	0.009137	-0.047718	0.000891	-0.081881	0.000583
232.25	0.003941	-0.108865	-0.002844	-0.165126	-0.00492
232.375	0.001569	-0.124716	-0.003353	-0.19142	-0.001269
232.5	0.003127	-0.174928	-0.002364	-0.256355	0.01066
232.625	0.009057	-0.203999	-0.000451	-0.293889	0.027721
232.75	0.015932	-0.261378	0.000795	-0.365816	0.043451
232.875	0.022116	-0.242636	0.00396	-0.335201	0.051844
233	0.026021	-0.386324	0.008249	-0.51967	0.052351
233.125	0.026253	-0.468824	0.011489	-0.626697	0.04595
233.25	0.020714	-0.471205	0.010888	-0.630291	0.034006
233.375	0.011149	-0.391144	0.007305	-0.521798	0.019326
233.5	0.002258	-0.352583	0.003318	-0.471383	0.006031
233.625	-0.001803	-0.262105	0.000529	-0.360183	-0.000433
233.75	0.002477	-0.280193	-0.000069	-0.387237	0.005776
233.875	0.012148	-0.387719	-0.001693	-0.523234	0.026331
234	0.028314	-0.457097	0.001661	-0.60965	0.056102
234.125	0.047946	-0.521648	0.011214	-0.696124	0.088284
234.25	0.065998	-0.50667	0.024399	-0.676727	0.118356
234.375	0.074121	-0.458144	0.034978	-0.611689	0.141285
234.5	0.067195	-0.39362	0.036126	-0.53005	0.150315
234.625	0.047757	-0.16162	0.026979	-0.246384	0.136976
234.75	0.024377	-0.10205	0.013246	-0.169155	0.101776
234.875	0.006345	-0.029063	0.002149	-0.076906	0.050906
235	0.004597	0.009514	0.007	-0.02601	0.008646
235.125	0.025487	0.024992	0.023772	0.003191	0.004157
235.25	0.058333	0.068949	0.044401	0.064002	0.049653
235.375	0.094623	0.021017	0.06231	-0.00106	0.12128
235.5	0.123531	-0.018835	0.069852	-0.046795	0.191844
235.625	0.134179	0.000501	0.063251	-0.0173	0.231334
235.75	0.121115	-0.002229	0.045344	-0.019351	0.228582
235.875	0.091002	-0.066341	0.024645	-0.096683	0.195281
236	0.052176	-0.092875	0.008609	-0.134149	0.142433
236.125	0.019404	-0.120475	0.002751	-0.169633	0.085423
236.25	0.002219	-0.074402	0.00268	-0.12147	0.038166
236.375	-0.000415	-0.042426	0.002321	-0.087438	0.00825
236.5	0.004869	-0.01849	0.000677	-0.068559	-0.000698
236.625	0.01181	0.018951	0.000989	-0.030944	0.005683
236.75	0.016876	0.053782	0.010045	0.023018	0.037201
236.875	0.02055	0.083683	0.027893	0.040849	0.097971
237	0.026211	0.144199	0.048532	0.158291	0.172275
237.125	0.036626	0.1532	0.06864	0.154724	0.244729
237.25	0.052765	0.147435	0.08895	0.139169	0.293403
237.375	0.069965	0.137341	0.112861	0.129209	0.309798
237.5	0.083159	0.165818	0.138589	0.180609	0.298828
237.625	0.090538	0.137967	0.162076	0.14196	0.271407
237.75	0.092301	0.129806	0.179363	0.127514	0.236336
237.875	0.091305	0.063443	0.189798	0.034954	0.19954
238	0.089192	0.098231	0.194483	0.070776	0.161081
238.125	0.084912	0.091695	0.192691	0.066612	0.120149
238.25	0.076533	0.07144	0.182631	0.029325	0.077914
238.375	0.061615	0.046204	0.160957	-0.007719	0.039605
238.5	0.041923	0.05388	0.127936	-0.01612	0.012017
238.625	0.022354	0.025671	0.086718	-0.034258	0.002663
238.75	0.00749	0.027294	0.044359	-0.00557	0.018979
238.875	0.001255	0.012553	0.011162	-0.012145	0.046935
239	0.004601	-0.002264	0.000318	-0.018913	0.080456
239.125	0.014313	-0.029602	0.013619	-0.053531	0.108366
239.25	0.024338	-0.019547	0.037826	-0.042345	0.121908
239.375	0.031896	-0.057813	0.060437	-0.098136	0.116181
239.5	0.035107	-0.098589	0.069545	-0.147949	0.088394
239.625	0.033382	-0.055353	0.063127	-0.091884	0.048714
239.75	0.026859	0.000248	0.04745	-0.015311	0.015374
239.875	0.017451	-0.021254	0.030153	-0.041453	0.000839
240	0.00753	-0.018625	0.016058	-0.031496	0.013433
240.125	0.000812	-0.064061	0.007027	-0.097672	0.045862
240.25	-0.000293	-0.106104	0.001615	-0.158014	0.071922
240.375	0.003899	-0.14546	-0.000309	-0.213436	0.075548
240.5	0.011423	-0.119569	-0.000316	-0.177026	0.056186
240.625	0.019934	-0.088854	0.002405	-0.126789	0.025315
240.75	0.027448	-0.14432	0.006943	-0.197623	0.003883
240.875	0.034043	-0.130368	0.007101	-0.178061	0.001224
241	0.040327	-0.150747	0.002793	-0.202252	0.009564
241.125	0.046373	-0.132668	0.002354	-0.18021	0.018767
241.25	0.051401	-0.151994	0.010385	-0.209649	0.020087
241.375	0.054474	-0.167934	0.019884	-0.22934	0.015489
241.5	0.054309	-0.150916	0.023369	-0.20544	0.010881
241.625	0.050331	-0.17622	0.017813	-0.242579	0.009471
241.75	0.04289	-0.154406	0.006222	-0.220094	0.011453
241.875	0.035175	-0.1935	0.000106	-0.272389	0.013599
242	0.029947	-0.223508	0.003656	-0.300917	0.012835
242.125	0.026141	-0.312791	0.016488	-0.419917	0.009196
242.25	0.021877	-0.29444	0.031841	-0.393549	0.003838
242.375	0.015622	-0.308382	0.043004	-0.411405	-0.000744
242.5	0.008968	-0.39347	0.051619	-0.525981	-0.002021
242.625	0.003633	-0.389781	0.060274	-0.51983	0.000878
242.75	0.000143	-0.422416	0.06782	-0.564095	0.006619
242.875	-0.000556	-0.373436	0.06982	-0.499372	0.018552
243	0.003506	-0.438864	0.062586	-0.585172	0.036281
243.125	0.007112	-0.36469	0.04918	-0.488137	0.05709
243.25	0.014151	-0.298906	0.034787	-0.402128	0.078349
243.375	0.022775	-0.315378	0.022433	-0.423033	0.098965
243.5	0.030187	-0.269094	0.013628	-0.360673	0.118746
243.625	0.03374	-0.229492	0.007937	-0.306765	0.136473
243.75	0.031612	-0.177502	0.003934	-0.236996	0.146784
243.875	0.024539	-0.161472	0.000938	-0.215378	0.144721
244	0.014233	-0.189664	-0.000025	-0.253103	0.124977
244.125	0.005319	-0.179667	0.004356	-0.240092	0.08683
244.25	0.002468	-0.192415	0.015475	-0.257025	0.043269
244.375	0.008123	-0.194015	0.029902	-0.259569	0.01036
244.5	0.017282	-0.200758	0.042488	-0.274452	-0.000458
244.625	0.026575	-0.170376	0.046538	-0.231406	0.010161
244.75	0.03227	-0.131848	0.041102	-0.183322	0.038331
244.875	0.031936	-0.092341	0.031575	-0.128611	0.070686
245	0.026406	-0.15994	0.022261	-0.237514	0.094307
245.125	0.017136	-0.506688	0.014047	-0.799523	0.10326
245.25	0.007669	-0.270227	0.006506	-0.42142	0.098244
245.375	0.001942	0.035114	0.00137	0.02034	0.086918
245.5	0.003464	-0.064156	-0.000222	-0.125509	0.073678
245.625	0.015428	0.003671	0.000413	-0.026305	0.059459
245.75	0.032466	-0.054957	0.003907	-0.150453	0.043341
245.875	0.05269	0.095847	0.009013	0.063406	0.025644
246	0.072926	0.168066	0.016238	0.170308	0.009307
246.125	0.090946	0.142862	0.02462	0.138979	0.008435
246.25	0.105279	0.14155	0.032512	0.13078	0.033466
246.375	0.113771	0.125088	0.038167	0.124655	0.056955
246.5	0.114813	0.083124	0.043574	0.072008	0.07422
246.625	0.107967	0.099987	0.051465	0.087214	0.084793
246.75	0.095257	0.020159	0.061061	-0.027487	0.090816
246.875	0.079248	-0.004201	0.067841	-0.042981	0.093803
247	0.062985	-0.07251	0.063985	-0.129905	0.093037
247.125	0.047999	-0.142055	0.047975	-0.211215	0.085025
247.25	0.034965	-0.316317	0.027131	-0.427604	0.068227
247.375	0.024349	-0.352786	0.00903	-0.477514	0.042984
247.5	0.015804	-0.435255	0.00069	-0.585059	0.014347
247.625	0.007442	-0.491983	0.003993	-0.658901	-0.005939
247.75	-0.0002	-0.427546	0.008077	-0.574932	-0.007326
247.875	-0.003809	-0.27876	0.00839	-0.379084	-0.001968
248	0.001825	-0.047971	0.004139	-0.076726	0.005444
248.125	0.014626	0.098512	0.00019	0.105194	0.038332
248.25	0.036676	0.156759	0.002413	0.180543	0.095104
248.375	0.06465	0.174476	0.017374	0.196692	0.167571
248.5	0.094331	0.174741	0.043331	0.199732	0.244533
248.625	0.121238	0.203711	0.071286	0.236289	0.308001
248.75	0.14149	0.187058	0.08789	0.201376	0.344742
248.875	0.15061	0.189917	0.087277	0.202787	0.35186
249	0.146664	0.190229	0.07428	0.191545	0.334587
249.125	0.127547	0.135799	0.053917	0.135936	0.29263
249.25	0.094908	0.065331	0.03131	0.050625	0.222969
249.375	0.058803	0.077352	0.012134	0.059909	0.136898
249.5	0.028335	0.079473	0.001933	0.055948	0.058249
249.625	0.008188	0.072422	0.00493	0.051796	0.010224
249.75	0.001688	0.074187	0.017624	0.06914	0.023675
249.875	0.002521	0.080041	0.024633	0.087883	0.096715
250	0.012718	0.089908	0.018963	0.105195	0.198119
250.125	0.027321	0.072531	0.007952	0.078615	0.292354
250.25	0.040483	0.050239	0.000973	0.046733	0.35423
250.375	0.044748	0.118962	0.0019	0.143205	0.368114
250.5	0.038933	0.065901	0.007779	0.081216	0.350764
250.625	0.027012	0.043461	0.013655	0.055092	0.320749
250.75	0.013693	0.042125	0.018267	0.05136	0.282954
250.875	0.003179	0.040662	0.024554	0.038079	0.226429
251	0.01097	0.060319	0.037686	0.069876	0.141791
251.125	0.030457	0.101678	0.058993	0.128032	0.055716
251.25	0.055654	0.157233	0.084081	0.203467	0.0076
251.375	0.08145	0.194943	0.107394	0.245787	0.023198
251.5	0.098782	0.213887	0.120464	0.271696	0.105414
251.625	0.103696	0.21324	0.119421	0.273924	0.195822
251.75	0.098697	0.196297	0.105945	0.248118	0.237003
251.875	0.088598	0.178286	0.085291	0.226432	0.212462
252	0.07627	0.222869	0.062939	0.286678	0.129558
252.125	0.062314	0.214759	0.04535	0.279394	0.037774
